file_stem,INTRO_mtld,INTRO_sentence_length,BODY_mtld,BODY_sentence_length,DISCUSSION_mtld,DISCUSSION_sentence_length,CONCLUSION_mtld,CONCLUSION_sentence_length,OTHER_mtld,OTHER_sentence_length
14-From Postcolonialism to Cosmopolitanism_ Reading Timothy Mo_s Thematic Shift and Its Resonance,,,,,,,123.82099317149905,32.63636363636363,134.41049163558262,23.806761786600497
14-Narrating Panarchy in the Anthropocene_ The Adaptive _Short Story_ Cycle in Rebecca Campbell_s,144.76037967327437,37.6,,,,,89.9528973501254,28.384615384615383,111.32736807094044,31.489763666798822
14-Reading for the future_ _stanbul Ansiklopedisi_ a collection without origin,88.1708217913204,28.526315789473685,,,,,60.9291113381001,25.357142857142858,57.98793518047415,21.31705948372615
14-_THIS IS A PAID ADVERTISEMENT__ advertising poetics in Yugen,120.74964270901705,29.485714285714284,,,,,119.56448481799654,29.666666666666668,72.45017402114654,21.616159118514663
15-Bald krumme Linien_ generative aesthetics and the Bensian legacy,,,,,,,,,73.08959023621544,18.57109123091404
15-Fiction_s critique_ Gray_s Poor Things and the conduct of sensibility,,,,,,,,,70.21578763681947,28.051456433637288
15-Religious Hypocrisy and Moral Failure in James Baldwin_s Go Tell It on the Mountain and Khaled,93.2371792541318,26.487179487179485,,,107.26246637655802,27.1875,96.37080004479952,23.90909090909091,81.83815538537154,20.58792876277951
15-Writing and translating across power differentials_ Paratextual _re_framing of three Chinese d,122.11556928076052,24.575693860386878,,,,,129.41386032218986,30.045454545454547,95.17787255031013,18.07520930979429
15-_Aiding the Greek Rebel Infidels__ Insights from the Ottoman Archives on Lord Byron_s Missolon,81.31044932079415,33.38461538461539,,,,,170.78978626168126,29.454545454545453,111.11145898384652,23.325779327317473
16-Information poetics_ communication and combinatorics in concrete poetry,110.00654878847413,46.0,,,,,101.67552182163188,33.4,65.63385558024281,26.203537841468876
16-The hopeful possibilities of _sideways_ time_ Louise Erdrich_s Future Home of the Living God,88.45198289817066,33.170731707317074,,,,,79.84638554216868,24.272727272727273,71.2448476343401,18.720362625447372
16-Tom McCarthy_ The Making of Incarnation_ and the Infrastructure of Virtuality,171.49038461538464,20.489795918367346,158.76914374326293,22.694646290390974,,,130.1580351259567,15.571428571428571,12.0,12.0
