file_stem,INTRO_mtld,INTRO_sentence_length,BODY_mtld,BODY_sentence_length,DISCUSSION_mtld,DISCUSSION_sentence_length,CONCLUSION_mtld,CONCLUSION_sentence_length,OTHER_mtld,OTHER_sentence_length
07-Affect_ Evolution_ and Reparation_ AI Self-Sacrifice in Klara and the Sun,96.39847013381961,35.15384615384615,,,,,109.51761744966444,26.4,92.63922315828326,18.07366172572961
07-Communities of Writing_ The Main Scribes of National Library of Wales_ Brogyntyn ii.1,,,,,,,85.00370077439746,20.080645161290324,65.46308449205563,21.165946326634195
07-Grossed out by environmental breakdown_ Disgust as a literary device within Capitalocene cri-f,,,,,,,,,90.43096016298362,29.830487914862914
07-Shifting the ground beneath Singapore literature_ Archipelagic thinking in Isa Kamari_s Rawa a,,,,,107.12328754008902,34.94117647058823,115.65616087084652,15.933333333333334,64.65321289948491,21.095353858456615
07-_Where is the friend_s house___ Intimacy_ Spatiality_ and _post-_Ottoman Legacies in Sait Faik,,,,,,,108.71715145436309,43.411764705882355,67.33988592397209,22.086710030670424
08-An alter-native cultural imaginary of Brunei Darussalam in Tina Afiqah_s The Bubble Princess a,123.28206670692883,24.408163265306122,,,,,109.64419034419033,25.05263157894737,75.64888193287227,17.26438276525053
08-Form After the Internet Novel_ The Hermeneutics of Digital Ekphrasis,,,,,,,,,60.98883966955398,18.726053639846743
08-Masculinity_ the Environment and the Phenomenology of the Body in Beowulf,58.35110785141127,25.772727272727273,,,,,67.90825153794562,21.875,61.00899246271503,17.058840895946158
08-The Jim Crow railroad bildungsroman,,,91.0412887495649,24.898111550427792,,,,,66.60749803320357,26.61764705882353
08-Women in the closet in Peyami Safa_ homonationalism as an analytical category to read early re,128.65892116182573,22.464285714285715,,,,,101.20082169268693,26.0,94.0458866612995,22.81810676940011
09-An independent and unconventional character_ Fikriye_ _Everybody_s Woman_,77.28481054453366,29.055555555555557,,,,,115.25,24.05263157894737,76.40163079898564,21.742530102093355
09-Cohesion_ Exile_ Return_ Non-Human Narrative and the Shape of Diaspora Community in Never Let ,95.18370644286364,31.944444444444443,,,,,113.44896602136018,33.2962962962963,91.94374666501584,23.8589548010521
09-Louise Gl_ck_s Averno_ A Feminist Reception of the Myth of Persephone,85.97859525616612,17.758928571428573,,,,,112.9695945945946,24.06896551724138,93.71729482638364,17.930179042679043
09-Of barren lands and broken promises_ Writing social change in Kourouma_s Suns of Independence ,116.72256097560975,35.38461538461539,,,,,145.8393540434927,40.125,57.923625695619705,16.274906015037594
09-War_ widowhood_ and maternal grief in Jacob_s Room,,,,,,,,,102.61574870273473,19.03820485782576
10-Critique of Australia_s Bicentennial Moment in John Forbes_s The Stunned Mullet,,,,,,,88.78245403078151,17.571428571428573,87.2316455026112,20.25694911819623
10-Manners_ Morals_ and Happiness_ Negotiating Balance in Sense and Sensibility,,,,,,,,,97.06320964770802,20.673962828245443
10-Scaling up the Capitalocene_ paratexts_ storyworld_ and climate change in New York 2140,91.96137977418113,29.6,,,,,92.54648647363666,50.07142857142857,72.21403919818209,29.56723602484472
10-THE _DERMOGROTESQUE_ BODY_ ACNE_ ALIENATION_ AND AESTHETICS IN BUKOWSKI_S HAM ON RYE,81.62460513665704,26.5,,,,,,,103.33258292585873,20.017325962215125
10-When the queen of transvestites revealed it all_ Performative politics of queer life writing i,86.70384781668828,24.25,,,,,95.26331977695929,29.416666666666668,79.07098581204725,22.048241341991343
11-A Possible Way Out_ The Paradox of the Multitude in Cloud Atlas and Slade House,151.36894880007395,32.6,,,,,153.79556309068607,24.333333333333332,120.11395423767722,19.22033456739339
11-Cybernetics_ or the metatechnology of a machine,,,,,,,,,62.33911562368556,20.65092319199458
11-Oceans_ hormones and female flow in Twelfth Night,,,,,,,166.8019266950531,36.0,77.44340336244339,12.38477366255144
11-Orality and the subaltern_ Anticolonial resistance in Rosario Cruz-Lucero_s Feast and Famine_ ,,,,,,,9.0,9.0,77.49468612362772,20.065328496990194
11-Relational Time_ Female Transgenerational Bonds and Herstory in Linda Grant_s The Story of the,117.19503640216413,31.666666666666668,,,,,106.10396891577808,27.0,86.88015528922975,24.02764772155755
12-H_seyin Rahmi_s queer hauntology_ _Un-_making of the secular nation_state_self,86.08067622106017,29.210526315789473,,,,,76.98567898610409,25.107142857142858,131.16229714082556,23.252719261570128
12-Membrane_ a poetics of the border,,,,,,,81.46001653756997,32.31578947368421,66.1989814080705,26.29769536019536
12-Promised lands and paradisiacal gardens in Zo_ Wicomb_s David_s Story,74.51120858761988,35.121212121212125,,,,,109.37447836756198,31.333333333333332,82.96611491680268,29.43783993783994
12-The Oracle_ the Plague_ and the Mystery of Oedipus_ Identity in Natalie Haynes_ The Children o,73.58740464733792,21.942307692307693,,,,,75.2953343495342,27.568181818181817,41.58226886556721,12.672659176029962
12-Ways of Being Male_ Masculinities as Allegories in Yu Hua_s Brothers,83.63790474192534,26.129032258064516,,,,,120.90125596238975,23.59259259259259,67.3992363325201,20.700517346629063
13-Caste and internal labour migrations_ Exploring subaltern social geographies in Aravind Adiga_,108.96873668512995,34.84615384615385,,,,,99.37543610646942,32.0,113.00023474582743,30.175104175104178
13-Dangerous bodies_ a corrupted tongue_ tracing the queer Persianate in late Ottoman literature,125.7049719856561,35.3625,,,,,94.50669467051719,48.73076923076923,66.9924806649304,22.82885906040268
13-The Tragedy of Alignment_ Machinic Consistency and the Failure of Human Relations in Ian McEwa,133.96147851138392,23.71186440677966,,,,,129.1935624862108,24.571428571428573,102.04783394197501,20.891725038130552
13-The Workings of Affect in Lucy Caldwell_s Where They Were Missed,70.70802861267255,33.333333333333336,,,,,71.99012382604533,21.38888888888889,57.397378957394785,23.48467955603294
13-_The Ralahine way__ the rural commune in the writings of Irish radical W.P. Ryan,,,,,,,,,72.52576130153679,25.59699709405592
14-Against straight-forwardness_ Literary twists and queer communality in Shani Mootoo_s Moving F,,,,,,,87.0843100246583,31.666666666666668,81.29348816432238,25.466987490281383
