category,relpath,size_human,bytes,lines,rows_est,mtime
grobid_tei,grobid_tei/11-Orality and the subaltern_ Anticolonial resistance in Rosario Cruz-Lucero_s Feast and Famine_ .tei.xml,64.4KB,65972,,,2026-02-25T22:53:06
grobid_tei,grobid_tei/11-Relational Time_ Female Transgenerational Bonds and Herstory in Linda Grant_s The Story of the.tei.xml,83.8KB,85821,,,2026-02-25T22:53:08
grobid_tei,grobid_tei/12-H_seyin Rahmi_s queer hauntology_ _Un-_making of the secular nation_state_self.tei.xml,71.2KB,72956,,,2026-02-25T22:53:11
grobid_tei,grobid_tei/12-Membrane_ a poetics of the border.tei.xml,83.4KB,85355,,,2026-02-25T22:53:13
grobid_tei,grobid_tei/12-Promised lands and paradisiacal gardens in Zo_ Wicomb_s David_s Story.tei.xml,70.4KB,72112,,,2026-02-25T22:53:16
grobid_tei,grobid_tei/12-The Oracle_ the Plague_ and the Mystery of Oedipus_ Identity in Natalie Haynes_ The Children o.tei.xml,54.3KB,55573,,,2026-02-25T22:53:18
grobid_tei,grobid_tei/12-Ways of Being Male_ Masculinities as Allegories in Yu Hua_s Brothers.tei.xml,88.6KB,90692,,,2026-02-25T22:53:20
grobid_tei,grobid_tei/13-Caste and internal labour migrations_ Exploring subaltern social geographies in Aravind Adiga_.tei.xml,67.2KB,68818,,,2026-02-25T22:53:23
grobid_tei,grobid_tei/13-Dangerous bodies_ a corrupted tongue_ tracing the queer Persianate in late Ottoman literature.tei.xml,150.5KB,154069,,,2026-02-25T22:53:26
grobid_tei,grobid_tei/13-The Tragedy of Alignment_ Machinic Consistency and the Failure of Human Relations in Ian McEwa.tei.xml,66.6KB,68244,,,2026-02-25T22:53:28
grobid_tei,grobid_tei/13-The Workings of Affect in Lucy Caldwell_s Where They Were Missed.tei.xml,72.0KB,73747,,,2026-02-25T22:53:31
grobid_tei,grobid_tei/13-_The Ralahine way__ the rural commune in the writings of Irish radical W.P. Ryan.tei.xml,84.2KB,86198,,,2026-02-25T22:53:34
grobid_tei,grobid_tei/14-Against straight-forwardness_ Literary twists and queer communality in Shani Mootoo_s Moving F.tei.xml,70.2KB,71935,,,2026-02-25T22:53:36
grobid_tei,grobid_tei/14-From Postcolonialism to Cosmopolitanism_ Reading Timothy Mo_s Thematic Shift and Its Resonance.tei.xml,94.1KB,96320,,,2026-02-25T22:53:39
