section,count
"""Whodunit to Who Did It""-Subverting the Detective Genre and Exposing Collective Guilt",1
"""Reckoning and Reconciliation?""-the Metamodern Affect of The Trees",1
The Tudor Myth in the Henriad,1
The Chiron Myth in the Henriad,1
The Dual Mythological Framework in the Henriad,1
Shakespeare as a Historiographer and Mythographer,1
A more-than-human network,1
Gendered actants,1
Posthuman performativity and (dis)embodied gender,1
Patience Agbabi's Reception in Chaucer Studies,1
"Imperialism and ""The Man of Law's Tale""",1
"Patience Agbabi, Memory Sergeant, and Civilizationist Secularism",1
Research questions and procedures,1
"Comparison of reception: stimulated empathy, unexpected plotting, and abrupt ending",1
"II. The ""Practical Turn"" of Alienation: From Thinking to Living",1
III. Practicing Self and Community: Appropriating Conventions via Roleplaying,1
"Scale, Materiality, Reality",1
Water and Its Ambiguities,1
"Trauma, Memory and Spirituality",1
Chinese Science Fiction Translation in the Context of Soft Power and Techno-Orientalism,1
Environmentalism in Translated Chinese Science Fiction: Local Specificities and Intersectional Perspectives,1
Motherhood in Translated Chinese Science Fiction: Voices from Urban and Marginalized Contexts,1
A Non-Confrontational Response to Techno-Orientalism in Chinese Science Fiction Translation,1
Staging the emergency,1
The British state of exception,1
The campaign within government,1
Mothers in Morrison's Work.,1
"Sociological Matrix. Motherhood, Mothering, Black Parenting.",1
54,1
"The Mother-Daughter Plot, and Its Impossibility.",1
"Character Narration, Ethical Judgment and Narrative Progression.",1
"Forgetting to be Remembered: Amnesia, Assimilation, and Cultural Reclamation",1
Memory as Mnemonic Resistance: Storytelling and the Reinscription of History,1
Tracing Forgotten Memories: Falling Leaves Returning to the Root,1
14,1
15,1
22,1
23,1
26,1
34,1
35,1
36,1
39,1
48,1
58,1
61,1
67,1
71,1
72,1
74,1
77,1
I have been trying to tell you the secret of infinite lives: 85,1
84,1
89,1
91,1
94,1
Friendship as rescue plot,1
'All sorts of weird irrelevant ideas floated through Dottie's head',1
"'It's me, her friend Stella'",1
Narrative handover,1
Narrative ignorance,1
DeLillo's Credentials as Chronicler of Contemporary Crises,1
Stylistic Minimalism and the Retreat to the Domestic,1
The Ineffable Event and the Affective Present,1
Paratextual Optimism,1
Footnotes as Resistance: Challenging Imperial Discourse,1
Footnotes as Mediation: Reconstructing Irish Narratives,1
Delphic principles: caring for self-knowledge,1
Epistolary self-writing: techniques of ethical care,1
Notes towards an aesthetics of existence,1
Poetry-Drama as a Form of Poetry,1
Conspicuous Poetic Technique,1
Poetry-Dramas as Formal Experimentation,1
Defamiliarization as Avant-Garde Practice,1
Theory of Deconstruction,1
Eco-Gothic Deconstruction,1
Sonic Repetitions,1
"England, England and The Sense of an Ending Contextualized in the Brexit Process",1
"Imperial Nostalgia and Insecurity in England, England",1
The Illusion of Control and Reflexive Impotence in The Sense of an Ending,1
"Mourning, Hope and Resentment: Post-Brexit Affects in Autumn",1
When he voices 'Sweet Mephistopheles' and when they share books,1
Faust. 'Faustus,1
Meph. Here they are in this book.,1
Faustus's study,1
"Meph. Hell has no limits, nor is circumscribed",1
Ideas of freedom in Murdoch and Levinas,1
"Bledyard's understanding of freedom, rooted in selfdisciplined freedom",1
Rain Carter's perceptive freedom as an artist,1
Bledyard's challenge to rain's view on art and freedom,1
Mor's journey towards acquiring a different sense of freedom,1
"Disrupting Passivity: Gender, Antiheroinism, and the Serial Killer Narrative",1
"""This is My Story, and You Cannot Control It"": Perception, the Gothic Double, and the Erasure of Self in Maeve Fly",1
"""If there's a Monster in This Apartment, it's Me"": Desire, Cannibalism, and Reversing the Fetishized Gaze in The Eyes are the Best Part",1
What is a Chantey and Why is Authentication Important?,1
9,1
The Chantey's Voice in Oceanic Studies,1
"'Mr. Crocodile' is 'he', not I",1
Mirror and 'animal-man'/ 'man-animal',1
Going to work and being at work,1
Lateral Attachments and Affective Composition,1
"Substitution, Sacrifice, and the Solar Commons",1
Attentional Justice and the Admissions Machine,1
"Narcissism, Neoliberalism, Technocapitalism: The Contemporary Sites of Shteyngart's Achievers",1
Contemporary Gatsbies: Absurdistan and Lake Success,1
7,1
"Forever Consumers, Consumers (of) Forever: Super Sad True Love Story",1
Success Driven: Our Country Friends and the Ways of American Narcissism,1
